The 0 round: 494 buy tx | 497 sell tx | 9 unfinished tx.
The 1 round: 505 buy tx | 488 sell tx | 16 unfinished tx.
The 2 round: 524 buy tx | 458 sell tx | 34 unfinished tx.
The 3 round: 508 buy tx | 473 sell tx | 53 unfinished tx.
The 4 round: 492 buy tx | 502 sell tx | 59 unfinished tx.
The 5 round: 505 buy tx | 491 sell tx | 63 unfinished tx.
The 6 round: 512 buy tx | 493 sell tx | 58 unfinished tx.
The 7 round: 499 buy tx | 490 sell tx | 69 unfinished tx.
The 8 round: 478 buy tx | 504 sell tx | 87 unfinished tx.
The 9 round: 500 buy tx | 519 sell tx | 68 unfinished tx.
The 10 round: 490 buy tx | 497 sell tx | 81 unfinished tx.
The 11 round: 510 buy tx | 491 sell tx | 80 unfinished tx.
The 12 round: 515 buy tx | 491 sell tx | 74 unfinished tx.
The 13 round: 488 buy tx | 516 sell tx | 70 unfinished tx.
The 14 round: 483 buy tx | 506 sell tx | 81 unfinished tx.
The 15 round: 486 buy tx | 516 sell tx | 79 unfinished tx.
The 16 round: 484 buy tx | 498 sell tx | 97 unfinished tx.
The 17 round: 499 buy tx | 512 sell tx | 86 unfinished tx.
The 18 round: 512 buy tx | 501 sell tx | 73 unfinished tx.
The 19 round: 495 buy tx | 495 sell tx | 83 unfinished tx.
The 20 round: 517 buy tx | 489 sell tx | 77 unfinished tx.
The 21 round: 495 buy tx | 510 sell tx | 72 unfinished tx.
The 22 round: 481 buy tx | 516 sell tx | 75 unfinished tx.
The 23 round: 487 buy tx | 496 sell tx | 92 unfinished tx.
The 24 round: 516 buy tx | 478 sell tx | 98 unfinished tx.
The 25 round: 492 buy tx | 503 sell tx | 103 unfinished tx.
The 26 round: 498 buy tx | 493 sell tx | 112 unfinished tx.
The 27 round: 498 buy tx | 504 sell tx | 110 unfinished tx.
The 28 round: 498 buy tx | 500 sell tx | 112 unfinished tx.
The 29 round: 500 buy tx | 490 sell tx | 122 unfinished tx.
The 30 round: 500 buy tx | 513 sell tx | 109 unfinished tx.
The 31 round: 507 buy tx | 487 sell tx | 115 unfinished tx.
The 32 round: 509 buy tx | 506 sell tx | 100 unfinished tx.
The 33 round: 491 buy tx | 528 sell tx | 81 unfinished tx.
The 34 round: 491 buy tx | 499 sell tx | 91 unfinished tx.
The 35 round: 521 buy tx | 473 sell tx | 97 unfinished tx.
The 36 round: 498 buy tx | 507 sell tx | 92 unfinished tx.
The 37 round: 507 buy tx | 493 sell tx | 92 unfinished tx.
The 38 round: 478 buy tx | 529 sell tx | 85 unfinished tx.
The 39 round: 514 buy tx | 463 sell tx | 108 unfinished tx.
The 40 round: 511 buy tx | 512 sell tx | 85 unfinished tx.
The 41 round: 511 buy tx | 499 sell tx | 75 unfinished tx.
The 42 round: 466 buy tx | 524 sell tx | 85 unfinished tx.
The 43 round: 485 buy tx | 514 sell tx | 86 unfinished tx.
The 44 round: 530 buy tx | 476 sell tx | 80 unfinished tx.
The 45 round: 510 buy tx | 486 sell tx | 84 unfinished tx.
The 46 round: 506 buy tx | 497 sell tx | 81 unfinished tx.
The 47 round: 501 buy tx | 504 sell tx | 76 unfinished tx.
The 48 round: 493 buy tx | 504 sell tx | 79 unfinished tx.
The 49 round: 516 buy tx | 479 sell tx | 84 unfinished tx.
The 50 round: 498 buy tx | 497 sell tx | 89 unfinished tx.
The 51 round: 474 buy tx | 516 sell tx | 99 unfinished tx.
The 52 round: 501 buy tx | 491 sell tx | 107 unfinished tx.
The 53 round: 500 buy tx | 490 sell tx | 117 unfinished tx.
The 54 round: 501 buy tx | 514 sell tx | 102 unfinished tx.
The 55 round: 515 buy tx | 499 sell tx | 88 unfinished tx.
The 56 round: 472 buy tx | 527 sell tx | 89 unfinished tx.
The 57 round: 485 buy tx | 507 sell tx | 97 unfinished tx.
The 58 round: 467 buy tx | 524 sell tx | 106 unfinished tx.
The 59 round: 490 buy tx | 508 sell tx | 108 unfinished tx.
The 60 round: 498 buy tx | 482 sell tx | 128 unfinished tx.
The 61 round: 509 buy tx | 496 sell tx | 123 unfinished tx.
The 62 round: 511 buy tx | 491 sell tx | 121 unfinished tx.
The 63 round: 512 buy tx | 483 sell tx | 126 unfinished tx.
The 64 round: 479 buy tx | 499 sell tx | 148 unfinished tx.
The 65 round: 512 buy tx | 492 sell tx | 144 unfinished tx.
The 66 round: 494 buy tx | 511 sell tx | 139 unfinished tx.
The 67 round: 506 buy tx | 521 sell tx | 112 unfinished tx.
The 68 round: 475 buy tx | 513 sell tx | 124 unfinished tx.
The 69 round: 481 buy tx | 541 sell tx | 102 unfinished tx.
The 70 round: 531 buy tx | 480 sell tx | 91 unfinished tx.
The 71 round: 510 buy tx | 470 sell tx | 111 unfinished tx.
The 72 round: 495 buy tx | 503 sell tx | 113 unfinished tx.
The 73 round: 496 buy tx | 503 sell tx | 114 unfinished tx.
The 74 round: 519 buy tx | 468 sell tx | 127 unfinished tx.
The 75 round: 522 buy tx | 490 sell tx | 115 unfinished tx.
The 76 round: 502 buy tx | 488 sell tx | 125 unfinished tx.
The 77 round: 496 buy tx | 507 sell tx | 122 unfinished tx.
The 78 round: 497 buy tx | 495 sell tx | 130 unfinished tx.
The 79 round: 492 buy tx | 514 sell tx | 124 unfinished tx.
The 80 round: 525 buy tx | 483 sell tx | 116 unfinished tx.
The 81 round: 490 buy tx | 503 sell tx | 123 unfinished tx.
The 82 round: 484 buy tx | 511 sell tx | 128 unfinished tx.
The 83 round: 497 buy tx | 512 sell tx | 119 unfinished tx.
The 84 round: 505 buy tx | 490 sell tx | 124 unfinished tx.
The 85 round: 491 buy tx | 498 sell tx | 135 unfinished tx.
The 86 round: 534 buy tx | 473 sell tx | 128 unfinished tx.
The 87 round: 500 buy tx | 501 sell tx | 127 unfinished tx.
The 88 round: 489 buy tx | 503 sell tx | 135 unfinished tx.
The 89 round: 503 buy tx | 505 sell tx | 127 unfinished tx.
The 90 round: 498 buy tx | 495 sell tx | 134 unfinished tx.
The 91 round: 478 buy tx | 506 sell tx | 150 unfinished tx.
The 92 round: 509 buy tx | 496 sell tx | 145 unfinished tx.
The 93 round: 460 buy tx | 523 sell tx | 162 unfinished tx.
The 94 round: 501 buy tx | 504 sell tx | 157 unfinished tx.
The 95 round: 493 buy tx | 522 sell tx | 142 unfinished tx.
The 96 round: 485 buy tx | 507 sell tx | 150 unfinished tx.
The 97 round: 509 buy tx | 497 sell tx | 144 unfinished tx.
The 98 round: 518 buy tx | 495 sell tx | 131 unfinished tx.
The 99 round: 506 buy tx | 483 sell tx | 142 unfinished tx.
The 100 round: 503 buy tx | 494 sell tx | 145 unfinished tx.
The 101 round: 487 buy tx | 515 sell tx | 143 unfinished tx.
The 102 round: 497 buy tx | 513 sell tx | 133 unfinished tx.
The 103 round: 511 buy tx | 481 sell tx | 141 unfinished tx.
