The 96 round: 486 buy tx | 513 sell tx | 56 unfinished tx.
The 97 round: 521 buy tx | 471 sell tx | 64 unfinished tx.
The 98 round: 490 buy tx | 519 sell tx | 55 unfinished tx.
The 99 round: 503 buy tx | 493 sell tx | 59 unfinished tx.
The 100 round: 500 buy tx | 484 sell tx | 75 unfinished tx.
The 101 round: 520 buy tx | 486 sell tx | 69 unfinished tx.
The 102 round: 514 buy tx | 490 sell tx | 65 unfinished tx.
The 103 round: 502 buy tx | 500 sell tx | 63 unfinished tx.
The 104 round: 503 buy tx | 499 sell tx | 61 unfinished tx.
The 105 round: 498 buy tx | 488 sell tx | 75 unfinished tx.
The 106 round: 499 buy tx | 514 sell tx | 62 unfinished tx.
The 107 round: 480 buy tx | 516 sell tx | 66 unfinished tx.
The 108 round: 517 buy tx | 492 sell tx | 57 unfinished tx.
The 109 round: 518 buy tx | 474 sell tx | 65 unfinished tx.
The 110 round: 483 buy tx | 500 sell tx | 82 unfinished tx.
The 111 round: 505 buy tx | 494 sell tx | 83 unfinished tx.
The 112 round: 509 buy tx | 502 sell tx | 72 unfinished tx.
The 113 round: 469 buy tx | 514 sell tx | 89 unfinished tx.
The 114 round: 486 buy tx | 513 sell tx | 90 unfinished tx.
The 115 round: 478 buy tx | 513 sell tx | 99 unfinished tx.
The 116 round: 522 buy tx | 476 sell tx | 101 unfinished tx.
The 117 round: 467 buy tx | 545 sell tx | 89 unfinished tx.
The 118 round: 510 buy tx | 503 sell tx | 76 unfinished tx.
The 119 round: 510 buy tx | 482 sell tx | 84 unfinished tx.
The 120 round: 484 buy tx | 497 sell tx | 103 unfinished tx.
The 121 round: 501 buy tx | 493 sell tx | 109 unfinished tx.
The 122 round: 519 buy tx | 481 sell tx | 109 unfinished tx.
The 123 round: 504 buy tx | 532 sell tx | 73 unfinished tx.
The 124 round: 475 buy tx | 513 sell tx | 85 unfinished tx.
The 125 round: 501 buy tx | 497 sell tx | 87 unfinished tx.
The 126 round: 498 buy tx | 516 sell tx | 73 unfinished tx.
The 127 round: 510 buy tx | 482 sell tx | 81 unfinished tx.
The 128 round: 501 buy tx | 491 sell tx | 89 unfinished tx.
The 129 round: 507 buy tx | 480 sell tx | 102 unfinished tx.
The 130 round: 526 buy tx | 489 sell tx | 87 unfinished tx.
The 131 round: 500 buy tx | 500 sell tx | 87 unfinished tx.
The 132 round: 495 buy tx | 505 sell tx | 87 unfinished tx.
The 133 round: 503 buy tx | 497 sell tx | 87 unfinished tx.
The 134 round: 489 buy tx | 517 sell tx | 81 unfinished tx.
The 135 round: 495 buy tx | 500 sell tx | 86 unfinished tx.
The 136 round: 526 buy tx | 461 sell tx | 99 unfinished tx.
The 137 round: 504 buy tx | 496 sell tx | 99 unfinished tx.
The 138 round: 526 buy tx | 503 sell tx | 70 unfinished tx.
The 139 round: 478 buy tx | 518 sell tx | 74 unfinished tx.
The 140 round: 502 buy tx | 498 sell tx | 74 unfinished tx.
The 141 round: 473 buy tx | 520 sell tx | 81 unfinished tx.
The 142 round: 525 buy tx | 494 sell tx | 62 unfinished tx.
The 143 round: 494 buy tx | 503 sell tx | 65 unfinished tx.
The 144 round: 499 buy tx | 493 sell tx | 73 unfinished tx.
The 145 round: 496 buy tx | 522 sell tx | 55 unfinished tx.
The 146 round: 510 buy tx | 497 sell tx | 48 unfinished tx.
The 147 round: 526 buy tx | 466 sell tx | 56 unfinished tx.
The 148 round: 496 buy tx | 498 sell tx | 62 unfinished tx.
The 149 round: 506 buy tx | 500 sell tx | 56 unfinished tx.
The 150 round: 511 buy tx | 484 sell tx | 61 unfinished tx.
The 151 round: 492 buy tx | 507 sell tx | 62 unfinished tx.
The 152 round: 494 buy tx | 506 sell tx | 62 unfinished tx.
The 153 round: 501 buy tx | 498 sell tx | 63 unfinished tx.
The 154 round: 530 buy tx | 472 sell tx | 61 unfinished tx.
The 155 round: 490 buy tx | 498 sell tx | 73 unfinished tx.
The 156 round: 524 buy tx | 479 sell tx | 70 unfinished tx.
The 157 round: 492 buy tx | 501 sell tx | 77 unfinished tx.
The 158 round: 497 buy tx | 498 sell tx | 82 unfinished tx.
The 159 round: 462 buy tx | 533 sell tx | 87 unfinished tx.
The 160 round: 504 buy tx | 510 sell tx | 73 unfinished tx.
The 161 round: 503 buy tx | 490 sell tx | 80 unfinished tx.
The 162 round: 530 buy tx | 475 sell tx | 75 unfinished tx.
The 163 round: 497 buy tx | 513 sell tx | 65 unfinished tx.
The 164 round: 496 buy tx | 487 sell tx | 82 unfinished tx.
The 165 round: 493 buy tx | 512 sell tx | 77 unfinished tx.
The 166 round: 508 buy tx | 490 sell tx | 79 unfinished tx.
The 167 round: 523 buy tx | 485 sell tx | 71 unfinished tx.
The 168 round: 480 buy tx | 514 sell tx | 77 unfinished tx.
The 169 round: 507 buy tx | 486 sell tx | 84 unfinished tx.
The 170 round: 478 buy tx | 524 sell tx | 82 unfinished tx.
The 171 round: 511 buy tx | 487 sell tx | 84 unfinished tx.
The 172 round: 514 buy tx | 477 sell tx | 93 unfinished tx.
The 173 round: 471 buy tx | 514 sell tx | 108 unfinished tx.
The 174 round: 500 buy tx | 518 sell tx | 90 unfinished tx.
The 175 round: 497 buy tx | 514 sell tx | 79 unfinished tx.
The 176 round: 485 buy tx | 507 sell tx | 87 unfinished tx.
The 177 round: 481 buy tx | 509 sell tx | 97 unfinished tx.
The 178 round: 490 buy tx | 515 sell tx | 92 unfinished tx.
The 179 round: 490 buy tx | 519 sell tx | 83 unfinished tx.
The 180 round: 494 buy tx | 484 sell tx | 105 unfinished tx.
The 181 round: 513 buy tx | 484 sell tx | 108 unfinished tx.
The 182 round: 504 buy tx | 500 sell tx | 104 unfinished tx.
The 183 round: 500 buy tx | 495 sell tx | 109 unfinished tx.
The 184 round: 475 buy tx | 526 sell tx | 108 unfinished tx.
The 185 round: 489 buy tx | 513 sell tx | 106 unfinished tx.
The 186 round: 488 buy tx | 483 sell tx | 135 unfinished tx.
The 187 round: 516 buy tx | 524 sell tx | 95 unfinished tx.
The 188 round: 513 buy tx | 479 sell tx | 103 unfinished tx.
The 189 round: 514 buy tx | 500 sell tx | 89 unfinished tx.
The 190 round: 501 buy tx | 499 sell tx | 89 unfinished tx.
The 191 round: 494 buy tx | 512 sell tx | 83 unfinished tx.
The 192 round: 514 buy tx | 488 sell tx | 81 unfinished tx.
The 193 round: 471 buy tx | 522 sell tx | 88 unfinished tx.
The 194 round: 525 buy tx | 489 sell tx | 74 unfinished tx.
The 195 round: 488 buy tx | 500 sell tx | 86 unfinished tx.
The 196 round: 505 buy tx | 497 sell tx | 84 unfinished tx.
The 197 round: 465 buy tx | 542 sell tx | 77 unfinished tx.
The 198 round: 485 buy tx | 490 sell tx | 102 unfinished tx.
The 199 round: 499 buy tx | 509 sell tx | 94 unfinished tx.
The 200 round: 2 buy tx | 901 sell tx | 191 unfinished tx.
The 201 round: 485 buy tx | 542 sell tx | 164 unfinished tx.
The 202 round: 476 buy tx | 511 sell tx | 177 unfinished tx.
The 203 round: 443 buy tx | 542 sell tx | 192 unfinished tx.
The 204 round: 472 buy tx | 525 sell tx | 195 unfinished tx.
The 205 round: 499 buy tx | 488 sell tx | 208 unfinished tx.
The 206 round: 493 buy tx | 505 sell tx | 210 unfinished tx.
The 207 round: 489 buy tx | 510 sell tx | 211 unfinished tx.
The 208 round: 516 buy tx | 457 sell tx | 238 unfinished tx.
The 209 round: 504 buy tx | 508 sell tx | 226 unfinished tx.
The 210 round: 503 buy tx | 475 sell tx | 248 unfinished tx.
The 211 round: 490 buy tx | 511 sell tx | 247 unfinished tx.
The 212 round: 482 buy tx | 495 sell tx | 270 unfinished tx.
The 213 round: 517 buy tx | 491 sell tx | 262 unfinished tx.
The 214 round: 496 buy tx | 500 sell tx | 266 unfinished tx.
The 215 round: 483 buy tx | 509 sell tx | 274 unfinished tx.
The 216 round: 496 buy tx | 503 sell tx | 275 unfinished tx.
The 217 round: 505 buy tx | 495 sell tx | 275 unfinished tx.
The 218 round: 501 buy tx | 494 sell tx | 280 unfinished tx.
The 219 round: 482 buy tx | 511 sell tx | 287 unfinished tx.
The 220 round: 498 buy tx | 500 sell tx | 289 unfinished tx.
The 221 round: 504 buy tx | 501 sell tx | 284 unfinished tx.
The 222 round: 509 buy tx | 489 sell tx | 286 unfinished tx.
The 223 round: 490 buy tx | 510 sell tx | 286 unfinished tx.
The 224 round: 494 buy tx | 503 sell tx | 289 unfinished tx.
The 225 round: 497 buy tx | 495 sell tx | 297 unfinished tx.
The 226 round: 514 buy tx | 485 sell tx | 298 unfinished tx.
The 227 round: 519 buy tx | 477 sell tx | 302 unfinished tx.
The 228 round: 464 buy tx | 533 sell tx | 305 unfinished tx.
The 229 round: 507 buy tx | 490 sell tx | 308 unfinished tx.
The 230 round: 500 buy tx | 512 sell tx | 296 unfinished tx.
The 231 round: 503 buy tx | 500 sell tx | 293 unfinished tx.
The 232 round: 505 buy tx | 489 sell tx | 299 unfinished tx.
The 233 round: 503 buy tx | 488 sell tx | 308 unfinished tx.
The 234 round: 495 buy tx | 505 sell tx | 308 unfinished tx.
The 235 round: 494 buy tx | 499 sell tx | 315 unfinished tx.
The 236 round: 501 buy tx | 488 sell tx | 326 unfinished tx.
The 237 round: 479 buy tx | 525 sell tx | 322 unfinished tx.
The 238 round: 502 buy tx | 501 sell tx | 319 unfinished tx.
The 239 round: 513 buy tx | 483 sell tx | 323 unfinished tx.
The 240 round: 506 buy tx | 495 sell tx | 322 unfinished tx.
The 241 round: 497 buy tx | 521 sell tx | 304 unfinished tx.
The 242 round: 474 buy tx | 511 sell tx | 319 unfinished tx.
The 243 round: 505 buy tx | 498 sell tx | 316 unfinished tx.
The 244 round: 500 buy tx | 494 sell tx | 322 unfinished tx.
The 245 round: 512 buy tx | 497 sell tx | 313 unfinished tx.
The 246 round: 503 buy tx | 508 sell tx | 302 unfinished tx.
The 247 round: 518 buy tx | 488 sell tx | 296 unfinished tx.
The 248 round: 480 buy tx | 508 sell tx | 308 unfinished tx.
The 249 round: 465 buy tx | 520 sell tx | 323 unfinished tx.
The 250 round: 527 buy tx | 491 sell tx | 305 unfinished tx.
The 251 round: 510 buy tx | 489 sell tx | 306 unfinished tx.
The 252 round: 515 buy tx | 487 sell tx | 304 unfinished tx.
The 253 round: 479 buy tx | 512 sell tx | 313 unfinished tx.
The 254 round: 490 buy tx | 506 sell tx | 317 unfinished tx.
The 255 round: 532 buy tx | 452 sell tx | 333 unfinished tx.
The 256 round: 509 buy tx | 505 sell tx | 319 unfinished tx.
The 257 round: 484 buy tx | 509 sell tx | 326 unfinished tx.
The 258 round: 510 buy tx | 495 sell tx | 321 unfinished tx.
The 259 round: 491 buy tx | 481 sell tx | 349 unfinished tx.
The 260 round: 494 buy tx | 515 sell tx | 340 unfinished tx.
The 261 round: 512 buy tx | 495 sell tx | 333 unfinished tx.
The 262 round: 507 buy tx | 502 sell tx | 324 unfinished tx.
The 263 round: 501 buy tx | 505 sell tx | 318 unfinished tx.
The 264 round: 505 buy tx | 486 sell tx | 327 unfinished tx.
The 265 round: 503 buy tx | 512 sell tx | 312 unfinished tx.
The 266 round: 501 buy tx | 497 sell tx | 314 unfinished tx.
The 267 round: 516 buy tx | 497 sell tx | 301 unfinished tx.
The 268 round: 493 buy tx | 493 sell tx | 315 unfinished tx.
The 269 round: 501 buy tx | 494 sell tx | 320 unfinished tx.
The 270 round: 513 buy tx | 486 sell tx | 321 unfinished tx.
The 271 round: 497 buy tx | 495 sell tx | 329 unfinished tx.
The 272 round: 502 buy tx | 503 sell tx | 324 unfinished tx.
The 273 round: 504 buy tx | 488 sell tx | 332 unfinished tx.
The 274 round: 519 buy tx | 462 sell tx | 351 unfinished tx.
The 275 round: 508 buy tx | 504 sell tx | 339 unfinished tx.
The 276 round: 502 buy tx | 490 sell tx | 347 unfinished tx.
The 277 round: 506 buy tx | 494 sell tx | 347 unfinished tx.
The 278 round: 505 buy tx | 493 sell tx | 349 unfinished tx.
The 279 round: 472 buy tx | 523 sell tx | 354 unfinished tx.
The 280 round: 506 buy tx | 507 sell tx | 341 unfinished tx.
The 281 round: 485 buy tx | 501 sell tx | 355 unfinished tx.
The 282 round: 503 buy tx | 515 sell tx | 337 unfinished tx.
The 283 round: 521 buy tx | 500 sell tx | 316 unfinished tx.
The 284 round: 525 buy tx | 477 sell tx | 314 unfinished tx.
The 285 round: 472 buy tx | 517 sell tx | 325 unfinished tx.
The 286 round: 513 buy tx | 514 sell tx | 298 unfinished tx.
