The 0 round: 488 buy tx | 498 sell tx | 14 unfinished tx.
The 1 round: 485 buy tx | 507 sell tx | 22 unfinished tx.
The 2 round: 479 buy tx | 521 sell tx | 22 unfinished tx.
The 3 round: 514 buy tx | 486 sell tx | 22 unfinished tx.
The 4 round: 498 buy tx | 510 sell tx | 14 unfinished tx.
The 5 round: 514 buy tx | 482 sell tx | 18 unfinished tx.
The 6 round: 485 buy tx | 493 sell tx | 40 unfinished tx.
The 7 round: 502 buy tx | 499 sell tx | 39 unfinished tx.
The 8 round: 501 buy tx | 501 sell tx | 37 unfinished tx.
The 9 round: 502 buy tx | 499 sell tx | 36 unfinished tx.
The 10 round: 491 buy tx | 503 sell tx | 42 unfinished tx.
The 11 round: 490 buy tx | 509 sell tx | 43 unfinished tx.
The 12 round: 520 buy tx | 476 sell tx | 47 unfinished tx.
The 13 round: 512 buy tx | 483 sell tx | 52 unfinished tx.
The 14 round: 468 buy tx | 508 sell tx | 76 unfinished tx.
The 15 round: 519 buy tx | 508 sell tx | 49 unfinished tx.
The 16 round: 506 buy tx | 480 sell tx | 63 unfinished tx.
The 17 round: 471 buy tx | 510 sell tx | 82 unfinished tx.
The 18 round: 544 buy tx | 473 sell tx | 65 unfinished tx.
The 19 round: 506 buy tx | 490 sell tx | 69 unfinished tx.
The 20 round: 503 buy tx | 496 sell tx | 70 unfinished tx.
The 21 round: 483 buy tx | 511 sell tx | 76 unfinished tx.
The 22 round: 490 buy tx | 514 sell tx | 72 unfinished tx.
The 23 round: 536 buy tx | 466 sell tx | 70 unfinished tx.
The 24 round: 489 buy tx | 508 sell tx | 73 unfinished tx.
The 25 round: 495 buy tx | 507 sell tx | 71 unfinished tx.
The 26 round: 521 buy tx | 468 sell tx | 82 unfinished tx.
The 27 round: 480 buy tx | 520 sell tx | 82 unfinished tx.
The 28 round: 505 buy tx | 493 sell tx | 84 unfinished tx.
The 29 round: 523 buy tx | 510 sell tx | 51 unfinished tx.
The 30 round: 493 buy tx | 496 sell tx | 62 unfinished tx.
The 31 round: 505 buy tx | 495 sell tx | 62 unfinished tx.
The 32 round: 464 buy tx | 519 sell tx | 79 unfinished tx.
The 33 round: 521 buy tx | 483 sell tx | 75 unfinished tx.
The 34 round: 514 buy tx | 479 sell tx | 82 unfinished tx.
The 35 round: 506 buy tx | 488 sell tx | 88 unfinished tx.
The 36 round: 503 buy tx | 502 sell tx | 83 unfinished tx.
The 37 round: 505 buy tx | 494 sell tx | 84 unfinished tx.
The 38 round: 522 buy tx | 470 sell tx | 92 unfinished tx.
The 39 round: 512 buy tx | 512 sell tx | 68 unfinished tx.
The 40 round: 526 buy tx | 467 sell tx | 75 unfinished tx.
The 41 round: 494 buy tx | 513 sell tx | 68 unfinished tx.
The 42 round: 493 buy tx | 504 sell tx | 71 unfinished tx.
